Date,Close,Volume,Open,High,Low
03/09/2016, $101.12, 27148530, $101.31, $101.58, $100.27
03/08/2016, $101.03, 31538710, $100.78, $101.76, $100.4
03/07/2016, $101.87, 35890740, $102.39, $102.83, $100.96
03/04/2016, $103.01, 46026600, $102.37, $103.75, $101.37
03/03/2016, $101.5, 36884490, $100.58, $101.7099, $100.45
03/02/2016, $100.75, 33136130, $100.51, $100.89, $99.64
03/01/2016, $100.53, 50303500, $97.65, $100.77, $97.42
02/29/2016, $96.69, 35131460, $96.86, $98.23, $96.65
02/26/2016, $96.91, 28949760, $97.2, $98.0237, $96.58
02/25/2016, $96.76, 27526040, $96.05, $96.76, $95.25
02/24/2016, $96.1, 36192150, $93.98, $96.38, $93.32
02/23/2016, $94.69, 31851180, $96.4, $96.5, $94.55
02/22/2016, $96.88, 34240470, $96.31, $96.9, $95.92
02/19/2016, $96.04, 35290570, $96, $96.7599, $95.8
02/18/2016, $96.26, 38866100, $98.84, $98.89, $96.091
02/17/2016, $98.12, 44811800, $96.67, $98.21, $96.15
02/16/2016, $96.64, 48032600, $95.02, $96.85, $94.61
02/12/2016, $93.99, 40323020, $94.19, $94.5, $93.01
02/11/2016, $93.7, 49979700, $93.79, $94.72, $92.59
02/10/2016, $94.27, 42288790, $95.92, $96.35, $94.1
02/09/2016, $94.99, 44282560, $94.29, $95.94, $93.93
02/08/2016, $95.01, 53920550, $93.13, $95.7, $93.04
02/05/2016, $94.02, 46315620, $96.52, $96.92, $93.69
02/04/2016, $96.6, 46418230, $95.86, $97.33, $95.19
02/03/2016, $96.35, 45870130, $95, $96.84, $94.08
02/02/2016, $94.48, 37190500, $95.42, $96.04, $94.28
02/01/2016, $96.43, 40814360, $96.47, $96.71, $95.4
01/29/2016, $97.34, 64332440, $94.79, $97.34, $94.35
01/28/2016, $94.09, 55622370, $93.79, $94.52, $92.39
01/27/2016, $93.42, 133059000, $96.04, $96.6289, $93.34
01/26/2016, $99.99, 71937310, $99.93, $100.88, $98.07
01/25/2016, $99.44, 51529980, $101.52, $101.53, $99.21
01/22/2016, $101.42, 65648660, $98.63, $101.46, $98.37
01/21/2016, $96.3, 52099200, $97.06, $97.88, $94.94
01/20/2016, $96.79, 72274300, $95.1, $98.1897, $93.42
01/19/2016, $96.66, 52960810, $98.41, $98.65, $95.5
01/15/2016, $97.13, 79356010, $96.2, $97.71, $95.36
01/14/2016, $99.52, 63000140, $97.96, $100.48, $95.74
01/13/2016, $97.39, 62285770, $100.32, $101.19, $97.3
01/12/2016, $99.96, 49046150, $100.55, $100.69, $98.8399
01/11/2016, $98.53, 49687870, $98.97, $99.06, $97.34
01/08/2016, $96.96, 70722000, $98.55, $99.11, $96.76
01/07/2016, $96.45, 80742460, $98.68, $100.13, $96.43
01/06/2016, $100.7, 68384270, $100.56, $102.37, $99.87
01/05/2016, $102.71, 55583140, $105.75, $105.85, $102.41
01/04/2016, $105.35, 67569090, $102.61, $105.368, $102
12/31/2015, $105.26, 40885480, $107.01, $107.03, $104.82
12/30/2015, $107.32, 25184090, $108.58, $108.7, $107.18
12/29/2015, $108.74, 30912260, $106.96, $109.43, $106.86
12/28/2015, $106.82, 26639930, $107.59, $107.69, $106.1807
12/24/2015, $108.03, 13596680, $109, $109, $107.95
12/23/2015, $108.61, 32618140, $107.27, $108.85, $107.2
12/22/2015, $107.23, 32728460, $107.4, $107.72, $106.451
12/21/2015, $107.33, 47507230, $107.28, $107.37, $105.57
12/18/2015, $106.03, 96197190, $108.91, $109.52, $105.81
12/17/2015, $108.98, 44654830, $112.02, $112.25, $108.98
12/16/2015, $111.34, 56157370, $111.07, $111.99, $108.8
12/15/2015, $110.49, 53168580, $111.94, $112.8, $110.35
12/14/2015, $112.48, 64678220, $112.18, $112.68, $109.79
12/11/2015, $113.18, 46810020, $115.19, $115.39, $112.851
